sku	asin	price	quantity
E7-IGTN-BK55	B08X3WR7LK	519.00	1
ER-5KLO-4YFR	B0BLKK12HV	130.00	2
EW-D948-AFFA	B0B6CQ6136	199.00	2
EX-5FYZ-7JCY	B07S1WSL1X	190.00	3
EY-JYA5-7QVB	B09BNWJXCG	199.00	1
FA-JMCQ-N011	B09JW61C55	449.00	2
FM-NNDN-PX5H	B0C2QMVXSK	479.00	2
FN-WWXO-TBCD	B09Z6TNBSV	540.00	1
FP-MRPJ-T9EO	B0B5H8SQFV	197.00	2
FP-R6FB-8ZQJ	B084G69T2F	169.00	2
FV-JX12-YYWS	B0B5LY2RLT	445.00	1
FV-SG18-06SR	B09Z326TXN	950.00	1
GD-VROF-7KHC	B0B4PB459J	99.00	2
GH-PPSG-S0LD	B0B4P8F3GM	199.00	3
GL-FV9F-E9NW	B0BMVDJDCF	899.00	1
GS-MZ24-BY51	B0BRJPG5L2	999.00	1
GY-TDFK-HDOW	B0BQC7MYXH	519.00	1
GY-Y6Y5-HYU6	B08RZ32YNT	148.00	2
GZ-9US1-8A4O	B099WVGDZW	358.00	2
H1-IZSH-7FAB	B094FRSD4G	349.00	1
H4-FT59-1HLQ	B09RHCM3K2	599.00	2
H8-H838-BF5X	B08252L8HG	158.00	4
HE-RMYN-VDA9	B0B5GTS431	599.00	2
HG-76JG-DY4T	B0B5H82M1L	198.00	3
HK-KEXD-EOI6	B08KFP28HH	549.00	1
HQ-8TDF-SA9P	B082B9173F	180.00	3
HQ-PP7F-CA5G	B08SQZYRQ1	172.00	4
HV-K4MG-4BD3	B07MNWXBD6	550.00	2
HX-QZF0-SQZJ	B07LC2FYVL	305.00	2
I0-BXV3-YSI3	B09SV198MS	245.00	2
I3-4M6K-AJ14	B09KNNBVT5	249.00	2
I8-RTBP-XNTM	B0B7DX6NY7	159.00	2
IA-CP11-8PE7	B09RMPD7CH	580.00	1
IG-U9Q8-YGKQ	B08SVQ7D5H	295.00	4
IH-LO3T-4F6H	B08SQZD6MQ	165.00	3
IK-9SRW-DRKT	B07LBBJ98M	345.00	3
IN-SDWV-SZ82	B0825RQBYZ	165.00	3
IX-6ZZX-LDUZ	B09J1NN5VG	680.00	2
J0-66EK-A5HY	B08SR5F415	162.00	4
J2-QHKG-OIMB	B0BNJ33GQR	999.00	1
J9-ZZ1Q-LUBB	B094DFS7Z2	329.00	2
JF-ILDC-BLND	B09YVJ9318	195.00	2
JY-1NQL-70Q0	B08FG7LT3K	399.00	3
K0-WZXN-BXB2	B09X1XQ2T5	499.00	1
K8-LSF1-2878	B09PF2BXLL	250.00	1
KB-VVEO-3V3J	B09KLRP18R	599.00	2
KC-6F5Z-2SHH	B09M4768N7	1700.00	1
