sku	asin	price	quantity
PG-O9PG-E2V8	B08SBVZXJ6	379.00	2
PI-F3MM-V7VI	B09V14DLYM	175.00	2
PM-J4XN-IUWD	B08MBFQRQ6	280.00	1
PZ-VETP-0BEX	B07T2W6K5D	229.00	1
Q1-UZVI-NWXH	B09SV3183L	175.00	1
Q2-DFCJ-BFX0	B08SMHWSKZ	199.00	1
Q4-DO5H-GWX3	B0BR5W4SQJ	379.00	2
QN-ZPP9-WE5Q	B08MB1YJN7	179.00	1
QR-8BUG-6M4R	B07537G82H	147.00	2
R8-QCJ0-BFER	B07G15J26F	150.00	2
RE-NVW8-50CQ	B0B4WLMJDR	160.00	2
RX-1BN7-YSXP	B08RZ3WY4T	170.00	1
RY-RO8N-NAAZ	B09KPQJD4N	299.00	4
SA-H9IV-9YGT	B0824NTK9V	158.00	3
SE-ZY92-UPYM	B0BRBFQQ8H	249.00	1
SJ-YICR-OH57	B08SC19435	148.00	2
SL-WLRI-BWR2	B08SMLV1VX	143.00	1
TP-T0EY-ULO0	B0823KF9RG	240.00	3
TS-FWEJ-KGIX	B0B7JPP2TN	138.00	1
Titled_heart_mold	B08KFP28HH	550.00	2
U0-524W-XCT8	B0B4P9Q6PW	149.00	3
U2-YG3D-H5IL	B082914QFZ	199.00	3
UP-GCTC-F1RZ	B0827XCP4D	200.00	2
UR-25SF-LPND	B09SLKSB5P	245.00	1
US-679J-VQ2A	B08SM4T3ZG	198.00	1
V9-HO24-GMLF	B08P7LVVPQ	900.00	2
V9-T4RM-YN7E	B082B672YY	1870.00	1
VA-NNAA-1TC4	B08ZNCBBSK	259.00	2
VS-550H-Z4DV	B08SQZD6MQ	159.00	2
WJ-0ZL4-ROPS	B08P5R39Q4	199.00	2
WK-ZCJI-04RS	B08SMK5ZSS	179.00	4
WY-AUPW-SIOY	B07VJ58RZJ	399.00	2
XB-ETK1-WM6P	B08SBPT2WT	149.00	2
YG-QTYM-PMTB	B084G69T2F	150.00	2
YN-JG0Q-JZAR	B08RP3ZN4F	199.00	1
YN-XS8Q-E6DB	B08RZ32YNT	140.00	2
YO-YBP1-ZEVS	B08SWGSY97	189.00	2
YP-OMUB-1WLS	B09KPQ8W6L	299.00	1
YR-YHDY-AZYA	B082B9173F	170.00	5
Z2-NKSC-6TCV	B084QFT7MP	160.00	2
ZN-I205-SDSW	B08NXKHQ9S	199.00	1
ZQ-HSBL-XUHU	B07S1WSL1X	149.00	2
ZU-INGM-JAT9	B08SMKD961	188.00	3
ZW-V5KL-HKQL	B084G69T2F	160.00	3
grassMold_Added	B07X3XJNZT	240.00	3
oCx100Lc	B07C1QZKR8	107.00	3
0C-H7DV-7N61	B088BYP1FX	199.00	0
0J-Y1IC-YUN0	B07DRJQBG7	449.00	0
0K-4O10-RC9H	B08BS2V47R	400.00	0
