item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	optional-payment-type-exclusion	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	maximum-retail-price
AMC Bunny Silicone Cupcake DIY Art Multipurpose Clay, Resin, Sugar, Cement Mould (3D Rabbit)	IndoSilico Molds, we use 100% silicone, soft flexible molds. Reusable any number of times. 3D Rabbit Easter Bunny Silicone Mold Cupcake Topper Fondant Cake Decorating Tools Cookie Baking Candy Chocolate Gumpaste Mould	1029X0LJ19V	4U-BSJ2-0TI2	280	2	2020-10-29 13:10:45 IST		y	1			11				B08M62MWKN						B08M62MWKN			0	DEFAULT																					450.0
AFR Wedding Ceremony Couple Bride Groom 3D Silicone Mold	indosilico Wedding Ceremony Couple Bride Groom 3D Mold Silicone Mold Candle Molds Craft Tools Chocolate Molds, Food safe silicone	0507V6UWCJC	5B-JFSB-BMN6	250	2	2019-05-07 11:07:51 IST		y	1			11				B07QD9ZVHG						B07QD9ZVHG			0	DEFAULT																					900.0
RETAIL SUPPLIES AJV Double Royal Crown Silicone Mould	Double Royal Crown Silicone Mould size: approx. 5.5cm x 7.5cm x 1.1cm	0107YPU761H	5I-3NNG-AFJL	149	3	2021-01-07 17:56:58 IST		y	1			11				B08SBJBY49						B08SBJBY49			0	DEFAULT																					400.0
AME Rose Round Flower flexibel and re-usable Mold Size 5.5x3x2 cm	rose flower round flexible and re -usable silicon mold size 5.5x3x2 cm	0825XCKOF0E	5S-HC25-U19Y	199	2	2020-08-25 16:56:40 IST		y	1			11				B08GM6RV2P						B08GM6RV2P			0	DEFAULT																					500.0
AKL Seashell Sea Shell Fondant Mold, Round Silicone Baking Mould Candy Chocolate Cake,Make Your Own Homemade Bar Soap DIY Soap Mold Jelly Ice Cake Chocolate Mould	Seashell Sea Shell Fondant Mold, Round Silicone Baking Mould Candy Chocolate Cake,Make Your Own Homemade Bar Soap DIY Soap Mold Jelly Ice Cake Chocolate Mould	0107YOU4SPR	66-ZVS0-KZIU	170	3	2021-01-07 11:19:24 IST		y	1			11				B08SC7M44N						B08SC7M44N			0	DEFAULT																					500.0
ADW Rose Flower Silicone Mold,Flower Silicone Mold,3D Silicone Fondant Mold,Decoration Mold,Baking Supplies,Silicone Soap Mold,Topper Mould	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	1227Z8EKQGS	6A-VT5F-TPDZ	149	3	2022-12-27 17:23:12 IST		y	1			11				B0BR5Q5FXP						B0BR5Q5FXP			0	DEFAULT																					300.0
ANW Angel Morning Glory Mould Craft Art Silicone 3D Soap Mold Craft Molds DIY Handmade Candle Mold	Item Description Material:Silicone Finished Soap Weight: 70 g Made Soap Size:7.8x5.9x3.0 cm You can do Soap Candle and other things you like by the mold The item color will randomly send High quality and it is easy for using and cleaning It is Soft and easy to use Angel Morning Glory Mould Craft Art Silicone	0925VLQ65UH	6I-WGJ2-JHON	360	1	2019-09-25 17:05:40 IST		y	1			11				B07YCM6H33						B07YCM6H33			0	DEFAULT																					1500.0
ALO Tree Leaf Press Molding Foil Mold Silicone Mold Cake Decor Fondant Cake 3D Leaves Silicone Mould	Tree Leaf Press Molding Foil Mold Silicone Mold Cake Decor Fondant Cake 3D Leaves Silicone Mould	1204V9PGNCI	6I-XCCY-2O07	160	2	2019-12-04 12:19:53 IST		y	1			11				B0829TPYR7						B0829TPYR7			0	DEFAULT																					700.0
ALR Bone Dog Paw Silicone Mold Cake Decorating Tools Cookie Cutter Pastry Accessory Kitchen Accessoriess	Baking Molds Bone Dog Paw Silicone Mold Cake Decorating Tools Cookie Cutter Pastry Accessory Kitchen Accessoriess	0111Y096AD2	6L-P5AL-8PRU	240	4	2021-01-11 14:23:48 IST		y	1			11				B08SM6WD38						B08SM6WD38			0	DEFAULT																					500.0
AQA 3D swan Leaves Cake resine Fondant Silicone Mould	new swan leaves cake,resin chocolate fondant silicone mould flexible and reusable	0112Y5BU6YD	6Z-PCWI-N0K3	129	3	2021-01-12 18:21:06 IST		y	1			11				B08SQSF453						B08SQSF453			0	DEFAULT																					400.0
