item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	optional-payment-type-exclusion	status	maximum-retail-price
ACN 2 pcs Sugar Cookie & Chocolate Chip Cookie Mold | Realistic for Soap Embeds | Candle Embeds | Wax Melts Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	1111ZVXQSE7	1Y-NRE1-N1FP	360	1	2022-11-11 14:39:31 IST		y	1			11				B0BM4GG67K						B0BM4GG67K			0	DEFAULT		Active	500.0
Age Hindu god sai Baba Lord shirdi Idol Sculpture Silicone Pattern Mold Flexible and Washable Silicone Mould	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0128Z5ZQO8Z	27-OHNA-KKS5	517	3	2022-01-28 19:18:02 IST		y	1			11				B09RG33QKL						B09RG33QKL			0	DEFAULT		Active	900.0
AEY Peacock Rakhi Festival Handmade Symbol Flexible Silicone Mold Peacock Feather for Resin Fondant Chocolate soap Clay Cake Decorating Candy Jewelry Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0712ZME692V	2B-4BTZ-QRET	197	1	2022-07-12 17:37:17 IST		y	1			11				B0B6DM2L6G						B0B6DM2L6G			0	DEFAULT		Active	300.0
AFE Indian God Kumbakonam,Tamil Nadu Nataraja Dancing Shiva Statue Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Cratial curve LLP, India. Made in India	0822ZB75HAU	2K-TTYM-PZ41	499	2	2022-08-22 14:28:29 IST		y	1			11				B0BBGY47GG						B0BBGY47GG			0	DEFAULT		Active	800.0
AMA Mermaid Girl Design 3D Silicone Mold Chocolate Fondant Cake Decorating Tools		1111YTCBI8I	2S-YBLY-110Q	198	3	2021-11-11 15:13:37 IST		y	1			11				B08598GWDF						B08598GWDF			0	DEFAULT		Active	500.0
AGO 3D Classic Car Shape Silicone Soap Mold Boys Gift Handmade Polymer Clay Craft Art DIY Mold Soap Making Mould Soap DIY Tool	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0504YEKI0BD	2T-7987-TDW4	500	1	2021-05-04 18:41:41 IST		y	1			11				B094456M5Y						B094456M5Y			0	DEFAULT		Active	800.0
APK 1pcs Tree Rings Lace Resin Silicone Fondant Molds Cake Decorating Tools Pastry Kitchen Baking Accessories	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Cratial curve LLP, India. Made in India	0504YE9J7EN	2T-XMZL-7296	350	2	2021-05-04 14:23:13 IST		y	1			11				B0943X2TRZ						B0943X2TRZ			0	DEFAULT		Active	600.0
AMJ Swastika Hindu Symbol Silicon Mold (satiya)		1105YJ67LAS	2U-R2O7-SS6W	378	2	2021-11-05 18:49:51 IST		y	1			11				B08PFZY7ZQ						B08PFZY7ZQ			0	DEFAULT		Active	500.0
AKD Lips kiss Mould Silicone Decoration Gum Paste Clay Decor Kissing Woman Mold		1111YTU2JFP	2U-TYV0-37UT	165	4	2021-11-11 18:52:23 IST		y	1			11				B08HL6Z93P						B08HL6Z93P			0	DEFAULT		Active	400.0
AFY Kalash Craft Making Molds Silicone Mould Well Worship Home Decoration Frame Silicone Mold Flexible and Reusable Silicone Mould	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0201Z9UIZH2	30-3WQR-XIXQ	378	2	2022-02-01 12:49:00 IST		y	1			11				B09RMKH33G						B09RMKH33G			0	DEFAULT		Active	600.0
